$Id: no_memory_minors.txt,v 1.2 1999/07/23 14:43:42 spreitze Exp $
    minor code       --- size range
decimal(hexadecimal) ---  decimal
-----------------------------------
1229717824(494c0140) --- [17484 .. 17865].
1229717825(494c0141) --- [17866 .. 18257].
1229717826(494c0142) --- [18258 .. 18656].
1229717827(494c0143) --- [18657 .. 19065].
1229717828(494c0144) --- [19066 .. 19482].
1229717829(494c0145) --- [19483 .. 19909].
1229717830(494c0146) --- [19910 .. 20345].
1229717831(494c0147) --- [20346 .. 20791].
1229717832(494c0148) --- [20792 .. 21246].
1229717833(494c0149) --- [21247 .. 21711].
1229717834(494c014a) --- [21712 .. 22187].
1229717835(494c014b) --- [22188 .. 22672].
1229717836(494c014c) --- [22673 .. 23169].
1229717837(494c014d) --- [23170 .. 23676].
1229717838(494c014e) --- [23677 .. 24195].
1229717839(494c014f) --- [24196 .. 24725].
1229717840(494c0150) --- [24726 .. 25266].
1229717841(494c0151) --- [25267 .. 25819].
1229717842(494c0152) --- [25820 .. 26385].
1229717843(494c0153) --- [26386 .. 26963].
1229717844(494c0154) --- [26964 .. 27553].
1229717845(494c0155) --- [27554 .. 28156].
1229717846(494c0156) --- [28157 .. 28773].
1229717847(494c0157) --- [28774 .. 29403].
1229717848(494c0158) --- [29404 .. 30047].
1229717849(494c0159) --- [30048 .. 30705].
1229717850(494c015a) --- [30706 .. 31377].
1229717851(494c015b) --- [31378 .. 32064].
1229717852(494c015c) --- [32065 .. 32767].
1229717853(494c015d) --- [32768 .. 33484].
1229717854(494c015e) --- [33485 .. 34217].
1229717855(494c015f) --- [34218 .. 34967].
1229717856(494c0160) --- [34968 .. 35732].
1229717857(494c0161) --- [35733 .. 36515].
1229717858(494c0162) --- [36516 .. 37314].
1229717859(494c0163) --- [37315 .. 38131].
1229717860(494c0164) --- [38132 .. 38966].
1229717861(494c0165) --- [38967 .. 39820].
1229717862(494c0166) --- [39821 .. 40692].
1229717863(494c0167) --- [40693 .. 41583].
1229717864(494c0168) --- [41584 .. 42493].
1229717865(494c0169) --- [42494 .. 43424].
1229717866(494c016a) --- [43425 .. 44375].
1229717867(494c016b) --- [44376 .. 45346].
1229717868(494c016c) --- [45347 .. 46339].
1229717869(494c016d) --- [46340 .. 47354].
1229717870(494c016e) --- [47355 .. 48391].
1229717871(494c016f) --- [48392 .. 49451].
1229717872(494c0170) --- [49452 .. 50534].
1229717873(494c0171) --- [50535 .. 51640].
1229717874(494c0172) --- [51641 .. 52771].
1229717875(494c0173) --- [52772 .. 53927].
1229717876(494c0174) --- [53928 .. 55107].
1229717877(494c0175) --- [55108 .. 56314].
1229717878(494c0176) --- [56315 .. 57547].
1229717879(494c0177) --- [57548 .. 58808].
1229717880(494c0178) --- [58809 .. 60095].
1229717881(494c0179) --- [60096 .. 61411].
1229717882(494c017a) --- [61412 .. 62756].
1229717883(494c017b) --- [62757 .. 64130].
1229717884(494c017c) --- [64131 .. 65535].
1229717885(494c017d) --- [65536 .. 66970].
1229717886(494c017e) --- [66971 .. 68436].
1229717887(494c017f) --- [68437 .. 69935].
1229717888(494c0180) --- [69936 .. 71466].
1229717889(494c0181) --- [71467 .. 73031].
1229717890(494c0182) --- [73032 .. 74630].
1229717891(494c0183) --- [74631 .. 76264].
1229717892(494c0184) --- [76265 .. 77934].
1229717893(494c0185) --- [77935 .. 79641].
1229717894(494c0186) --- [79642 .. 81385].
1229717895(494c0187) --- [81386 .. 83167].
1229717896(494c0188) --- [83168 .. 84988].
1229717897(494c0189) --- [84989 .. 86849].
1229717898(494c018a) --- [86850 .. 88751].
1229717899(494c018b) --- [88752 .. 90694].
1229717900(494c018c) --- [90695 .. 92680].
1229717901(494c018d) --- [92681 .. 94710].
1229717902(494c018e) --- [94711 .. 96784].
1229717903(494c018f) --- [96785 .. 98903].
1229717904(494c0190) --- [98904 .. 101069].
1229717905(494c0191) --- [101070 .. 103282].
1229717906(494c0192) --- [103283 .. 105544].
1229717907(494c0193) --- [105545 .. 107855].
1229717908(494c0194) --- [107856 .. 110216].
1229717909(494c0195) --- [110217 .. 112630].
1229717910(494c0196) --- [112631 .. 115096].
1229717911(494c0197) --- [115097 .. 117617].
1229717912(494c0198) --- [117618 .. 120192].
1229717913(494c0199) --- [120193 .. 122824].
1229717914(494c019a) --- [122825 .. 125513].
1229717915(494c019b) --- [125514 .. 128262].
1229717916(494c019c) --- [128263 .. 131071].
1229717917(494c019d) --- [131072 .. 133941].
1229717918(494c019e) --- [133942 .. 136874].
1229717919(494c019f) --- [136875 .. 139871].
1229717920(494c01a0) --- [139872 .. 142934].
1229717921(494c01a1) --- [142935 .. 146063].
1229717922(494c01a2) --- [146064 .. 149262].
1229717923(494c01a3) --- [149263 .. 152530].
1229717924(494c01a4) --- [152531 .. 155870].
1229717925(494c01a5) --- [155871 .. 159283].
1229717926(494c01a6) --- [159284 .. 162771].
1229717927(494c01a7) --- [162772 .. 166336].
1229717928(494c01a8) --- [166337 .. 169978].
1229717929(494c01a9) --- [169979 .. 173700].
1229717930(494c01aa) --- [173701 .. 177503].
1229717931(494c01ab) --- [177504 .. 181390].
1229717932(494c01ac) --- [181391 .. 185362].
1229717933(494c01ad) --- [185363 .. 189421].
1229717934(494c01ae) --- [189422 .. 193569].
1229717935(494c01af) --- [193570 .. 197808].
1229717936(494c01b0) --- [197809 .. 202139].
1229717937(494c01b1) --- [202140 .. 206565].
1229717938(494c01b2) --- [206566 .. 211089].
1229717939(494c01b3) --- [211090 .. 215711].
1229717940(494c01b4) --- [215712 .. 220434].
1229717941(494c01b5) --- [220435 .. 225261].
1229717942(494c01b6) --- [225262 .. 230194].
1229717943(494c01b7) --- [230195 .. 235235].
1229717944(494c01b8) --- [235236 .. 240386].
1229717945(494c01b9) --- [240387 .. 245649].
1229717946(494c01ba) --- [245650 .. 251028].
1229717947(494c01bb) --- [251029 .. 256525].
1229717948(494c01bc) --- [256526 .. 262143].
1229717949(494c01bd) --- [262144 .. 267883].
1229717950(494c01be) --- [267884 .. 273749].
1229717951(494c01bf) --- [273750 .. 279743].
1229717952(494c01c0) --- [279744 .. 285869].
1229717953(494c01c1) --- [285870 .. 292128].
1229717954(494c01c2) --- [292129 .. 298525].
1229717955(494c01c3) --- [298526 .. 305062].
1229717956(494c01c4) --- [305063 .. 311742].
1229717957(494c01c5) --- [311743 .. 318568].
1229717958(494c01c6) --- [318569 .. 325544].
1229717959(494c01c7) --- [325545 .. 332673].
1229717960(494c01c8) --- [332674 .. 339957].
1229717961(494c01c9) --- [339958 .. 347401].
1229717962(494c01ca) --- [347402 .. 355008].
1229717963(494c01cb) --- [355009 .. 362782].
1229717964(494c01cc) --- [362783 .. 370726].
1229717965(494c01cd) --- [370727 .. 378844].
1229717966(494c01ce) --- [378845 .. 387140].
1229717967(494c01cf) --- [387141 .. 395617].
1229717968(494c01d0) --- [395618 .. 404280].
1229717969(494c01d1) --- [404281 .. 413132].
1229717970(494c01d2) --- [413133 .. 422179].
1229717971(494c01d3) --- [422180 .. 431423].
1229717972(494c01d4) --- [431424 .. 440870].
1229717973(494c01d5) --- [440871 .. 450524].
1229717974(494c01d6) --- [450525 .. 460389].
1229717975(494c01d7) --- [460390 .. 470471].
1229717976(494c01d8) --- [470472 .. 480773].
1229717977(494c01d9) --- [480774 .. 491300].
1229717978(494c01da) --- [491301 .. 502058].
1229717979(494c01db) --- [502059 .. 513052].
1229717980(494c01dc) --- [513053 .. 524287].
1229717981(494c01dd) --- [524288 .. 535767].
1229717982(494c01de) --- [535768 .. 547499].
1229717983(494c01df) --- [547500 .. 559487].
1229717984(494c01e0) --- [559488 .. 571739].
1229717985(494c01e1) --- [571740 .. 584258].
1229717986(494c01e2) --- [584259 .. 597052].
1229717987(494c01e3) --- [597053 .. 610125].
1229717988(494c01e4) --- [610126 .. 623486].
1229717989(494c01e5) --- [623487 .. 637138].
1229717990(494c01e6) --- [637139 .. 651090].
1229717991(494c01e7) --- [651091 .. 665347].
1229717992(494c01e8) --- [665348 .. 679916].
1229717993(494c01e9) --- [679917 .. 694804].
1229717994(494c01ea) --- [694805 .. 710018].
1229717995(494c01eb) --- [710019 .. 725566].
1229717996(494c01ec) --- [725567 .. 741454].
1229717997(494c01ed) --- [741455 .. 757689].
1229717998(494c01ee) --- [757690 .. 774281].
1229717999(494c01ef) --- [774282 .. 791235].
1229718000(494c01f0) --- [791236 .. 808561].
1229718001(494c01f1) --- [808562 .. 826266].
1229718002(494c01f2) --- [826267 .. 844359].
1229718003(494c01f3) --- [844360 .. 862848].
1229718004(494c01f4) --- [862849 .. 881742].
1229718005(494c01f5) --- [881743 .. 901050].
1229718006(494c01f6) --- [901051 .. 920780].
1229718007(494c01f7) --- [920781 .. 940943].
1229718008(494c01f8) --- [940944 .. 961547].
1229718009(494c01f9) --- [961548 .. 982602].
1229718010(494c01fa) --- [982603 .. 1004118].
1229718011(494c01fb) --- [1004119 .. 1026106].
1229718012(494c01fc) --- [1026107 .. 1048575].
1229718013(494c01fd) --- [1048576 .. 1071535].
1229718014(494c01fe) --- [1071536 .. 1094999].
1229718015(494c01ff) --- [1095000 .. 1118976].
1229718016(494c0200) --- [1118977 .. 1143479].
1229718017(494c0201) --- [1143480 .. 1168518].
1229718018(494c0202) --- [1168519 .. 1194105].
1229718019(494c0203) --- [1194106 .. 1220252].
1229718020(494c0204) --- [1220253 .. 1246973].
1229718021(494c0205) --- [1246974 .. 1274278].
1229718022(494c0206) --- [1274279 .. 1302181].
1229718023(494c0207) --- [1302182 .. 1330695].
1229718024(494c0208) --- [1330696 .. 1359833].
1229718025(494c0209) --- [1359834 .. 1389610].
1229718026(494c020a) --- [1389611 .. 1420038].
1229718027(494c020b) --- [1420039 .. 1451133].
1229718028(494c020c) --- [1451134 .. 1482909].
1229718029(494c020d) --- [1482910 .. 1515380].
1229718030(494c020e) --- [1515381 .. 1548563].
1229718031(494c020f) --- [1548564 .. 1582472].
1229718032(494c0210) --- [1582473 .. 1617124].
1229718033(494c0211) --- [1617125 .. 1652534].
1229718034(494c0212) --- [1652535 .. 1688720].
1229718035(494c0213) --- [1688721 .. 1725698].
1229718036(494c0214) --- [1725699 .. 1763486].
1229718037(494c0215) --- [1763487 .. 1802101].
1229718038(494c0216) --- [1802102 .. 1841562].
1229718039(494c0217) --- [1841563 .. 1881887].
1229718040(494c0218) --- [1881888 .. 1923095].
1229718041(494c0219) --- [1923096 .. 1965206].
1229718042(494c021a) --- [1965207 .. 2008238].
1229718043(494c021b) --- [2008239 .. 2052213].
1229718044(494c021c) --- [2052214 .. 2097151].
1229718045(494c021d) --- [2097152 .. 2143072].
1229718046(494c021e) --- [2143073 .. 2189999].
1229718047(494c021f) --- [2190000 .. 2237954].
1229718048(494c0220) --- [2237955 .. 2286959].
1229718049(494c0221) --- [2286960 .. 2337037].
1229718050(494c0222) --- [2337038 .. 2388211].
1229718051(494c0223) --- [2388212 .. 2440506].
1229718052(494c0224) --- [2440507 .. 2493947].
1229718053(494c0225) --- [2493948 .. 2548557].
1229718054(494c0226) --- [2548558 .. 2604363].
1229718055(494c0227) --- [2604364 .. 2661391].
1229718056(494c0228) --- [2661392 .. 2719668].
1229718057(494c0229) --- [2719669 .. 2779221].
1229718058(494c022a) --- [2779222 .. 2840078].
1229718059(494c022b) --- [2840079 .. 2902268].
1229718060(494c022c) --- [2902269 .. 2965819].
1229718061(494c022d) --- [2965820 .. 3030762].
1229718062(494c022e) --- [3030763 .. 3097127].
1229718063(494c022f) --- [3097128 .. 3164946].
1229718064(494c0230) --- [3164947 .. 3234249].
1229718065(494c0231) --- [3234250 .. 3305070].
1229718066(494c0232) --- [3305071 .. 3377442].
1229718067(494c0233) --- [3377443 .. 3451398].
1229718068(494c0234) --- [3451399 .. 3526974].
1229718069(494c0235) --- [3526975 .. 3604204].
1229718070(494c0236) --- [3604205 .. 3683126].
1229718071(494c0237) --- [3683127 .. 3763776].
1229718072(494c0238) --- [3763777 .. 3846192].
1229718073(494c0239) --- [3846193 .. 3930413].
1229718074(494c023a) --- [3930414 .. 4016478].
1229718075(494c023b) --- [4016479 .. 4104427].
1229718076(494c023c) --- [4104428 .. 4194303].
1229718077(494c023d) --- [4194304 .. 4286146].
1229718078(494c023e) --- [4286147 .. 4380000].
1229718079(494c023f) --- [4380001 .. 4475910].
1229718080(494c0240) --- [4475911 .. 4573919].
1229718081(494c0241) --- [4573920 .. 4674075].
1229718082(494c0242) --- [4674076 .. 4776424].
1229718083(494c0243) --- [4776425 .. 4881014].
1229718084(494c0244) --- [4881015 .. 4987895].
1229718085(494c0245) --- [4987896 .. 5097115].
1229718086(494c0246) --- [5097116 .. 5208728].
1229718087(494c0247) --- [5208729 .. 5322784].
1229718088(494c0248) --- [5322785 .. 5439338].
1229718089(494c0249) --- [5439339 .. 5558444].
1229718090(494c024a) --- [5558445 .. 5680158].
1229718091(494c024b) --- [5680159 .. 5804537].
1229718092(494c024c) --- [5804538 .. 5931640].
1229718093(494c024d) --- [5931641 .. 6061526].
1229718094(494c024e) --- [6061527 .. 6194256].
1229718095(494c024f) --- [6194257 .. 6329893].
1229718096(494c0250) --- [6329894 .. 6468500].
1229718097(494c0251) --- [6468501 .. 6610141].
1229718098(494c0252) --- [6610142 .. 6754885].
1229718099(494c0253) --- [6754886 .. 6902797].
1229718100(494c0254) --- [6902798 .. 7053949].
1229718101(494c0255) --- [7053950 .. 7208410].
1229718102(494c0256) --- [7208411 .. 7366254].
